1|Omoikane
a8|Ame-no-Uzume
Ame-no-Uzume|a8
a9|Narcissus
Narcissus|a9
aa|Sati
Sati|aa
ab|Raja Naga
Raja Naga|ab
ac|Kushinada-Hime
Kushinada-Hime|ac
ad|Quetzalcoatl
Quetzalcoatl|ad
ae|Kingu
Kingu|ae
af|Lakshmi
Lakshmi|af
b0|Kaguya
Kaguya|b0
b1|Senri
Senri|b1
b2|Yaksini
Yaksini|b2
b3|Titania
Titania|b3
b4|Gorgon
Gorgon|b4
b5|Gabriel
Gabriel|b5
b6|Skadi
Skadi|b6
b7|Mother Harlot
Mother Harlot|b7
b8|Alilat
Alilat|b8
b9|Isis
Isis|b9
ba|Izanagi-no-Okami
Izanagi-no-Okami|ba
bb|Pixie
Pixie|bb
bc|Orobas
Orobas|bc
bd|Jack Frost
Jack Frost|bd
be|Hua Po
Hua Po|be
bf|Pyro Jack
Pyro Jack|bf
c0|Dis
Dis|c0
c1|Rangda
Rangda|c1
c2|Jinn
Jinn|c2
c3|Surt
Surt|c3
c4|Mada
Mada|c4
c5|Berith
Berith|c5
c6|Yomotsu-Ikusa
Yomotsu-Ikusa|c6
c7|Makami
Makami|c7
c8|Orthrus
Orthrus|c8
c9|Yatsufusa
Yatsufusa|c9
ca|Taowu
Taowu|ca
cb|Hell Biker
Hell Biker|cb
cc|Vasuki
Vasuki|cc
cd|Attis
Attis|cd
