(('Fortune', 'Aeon'), 'Temperance')
(('Death', 'Aeon'), 'Hermit')
(('Hierophant', 'Star'), 'Devil')
(('Strength', 'Death'), 'Hanged Man')
(('Magician', 'NA'), 'Hermit')
(('Lovers', 'Tower'), 'Judgement')
(('Priestess', 'Priestess'), 'Emperor')
(('Fortune', 'Priestess'), 'Priestess')
(('Star', 'Lovers'), 'Death')
(('Temperance', 'NA'), 'Judgement')
(('Hanged Man', 'Justice'), 'Magician')
(('Hermit', 'Star'), 'Death')
(('Lovers', 'Lovers'), 'Hanged Man')
(('Devil', 'Aeon'), 'Hierophant')
(('Fortune', 'Fortune'), 'Aeon')
(('Empress', 'Aeon'), 'Empress')
(('Judgement', 'Magician'), 'Hanged Man')
(('Lovers', 'Star'), 'Hierophant')
(('Magician', 'Empress'), 'Devil')
(('Strength', 'Hermit'), 'Star')
(('Tower', 'Fortune'), 'Moon')
(('Priestess', 'Hanged Man'), 'Magician')
(('Justice', 'Hanged Man'), 'Lovers')
(('Priestess', 'Hermit'), 'Magician')
(('Chariot', 'Magician'), 'Moon')
(('Hanged Man', 'Judgement'), 'Temperance')
(('Fortune', 'Strength'), 'Priestess')
(('Sun', 'Devil'), 'Strength')
(('Hanged Man', 'Temperance'), 'Star')
(('Temperance', 'Moon'), 'Fortune')
(('Hanged Man', 'Strength'), 'Devil')
(('Strength', 'Magician'), 'Star')
(('Fool', 'Emperor'), 'Death')
(('Emperor', 'Priestess'), 'Lovers')
(('Temperance', 'Priestess'), 'Emperor')
(('Tower', 'Hanged Man'), 'Empress')
(('Hermit', 'Priestess'), 'Star')
(('Emperor', 'Fortune'), 'Magician')
(('Tower', 'Judgement'), 'Hanged Man')
(('Strength', 'Empress'), 'Chariot')
(('Justice', 'Devil'), 'Emperor')
(('Hierophant', 'Justice'), 'Empress')
(('Fool', 'Hanged Man'), 'Strength')
(('Fool', 'Death'), 'Hermit')
(('Emperor', 'Emperor'), 'Empress')
(('Justice', 'World'), 'Death')
(('Magician', 'Tower'), 'Star')
(('Jester', 'Priestess'), 'Judgement')
(('Judgement', 'Hierophant'), 'Devil')
(('Moon', 'Chariot'), 'NA')
(('Priestess', 'Star'), 'Devil')
(('Emperor', 'Devil'), 'Tower')
(('Magician', 'Judgement'), 'Emperor')
(('Sun', 'Judgement'), 'Moon')
(('Hierophant', 'Judgement'), 'Hierophant')
(('Moon', 'Sun'), 'Temperance')
(('Star', 'Chariot'), 'Moon')
(('Tower', 'Fool'), 'Death')
(('Tower', 'Empress'), 'Sun')
(('Fool', 'Justice'), 'Magician')
(('Death', 'Emperor'), 'Moon')
(('Hanged Man', 'Empress'), 'Strength')
(('Emperor', 'Fool'), 'Devil')
(('Moon', 'Hanged Man'), 'Temperance')
(('Fool', 'Fool'), 'Fool')
(('Chariot', 'Lovers'), 'Temperance')
(('Lovers', 'Priestess'), 'Hierophant')
(('Priestess', 'World'), 'Moon')
(('Death', 'Judgement'), 'Lovers')
(('Temperance', 'Magician'), 'Tower')
(('Hermit', 'Death'), 'Priestess')
(('Hermit', 'Hanged Man'), 'Temperance')
(('Tower', 'NA'), 'Strength')
(('Emperor', 'Hermit'), 'Death')
(('Fortune', 'NA'), 'Empress')
(('Fool', 'Chariot'), 'Sun')
(('Strength', 'Lovers'), 'Star')
(('Strength', 'Tower'), 'Justice')
(('Strength', 'Moon'), 'Empress')
(('Death', 'Death'), 'Star')
(('Sun', 'Aeon'), 'Priestess')
(('Fortune', 'Tower'), 'Hanged Man')
(('Justice', 'Lovers'), 'Lovers')
(('Fortune', 'Moon'), 'Hermit')
(('Devil', 'Justice'), 'Star')
(('Empress', 'Empress'), 'Magician')
(('Magician', 'Death'), 'Sun')
(('Star', 'Hanged Man'), 'Empress')
(('Star', 'Emperor'), 'Death')
(('Lovers', 'NA'), 'Hermit')
(('Moon', 'Strength'), 'Sun')
(('Moon', 'Lovers'), 'Sun')
(('Chariot', 'Judgement'), 'Temperance')
(('Hierophant', 'Chariot'), 'Moon')
(('Hermit', 'Hierophant'), 'Judgement')
(('Tower', 'Aeon'), 'Star')
(('Priestess', 'Hierophant'), 'Death')
(('Hermit', 'World'), 'Lovers')
(('Moon', 'Emperor'), 'Chariot')
(('Fool', 'Magician'), 'Temperance')
(('Fortune', 'Star'), 'Sun')
(('Sun', 'Justice'), 'Priestess')
(('Judgement', 'NA'), 'Tower')
(('Hanged Man', 'Lovers'), 'Devil')
(('Empress', 'Devil'), 'Strength')
(('Strength', 'Hanged Man'), 'Star')
(('Judgement', 'Hanged Man'), 'Judgement')
(('Moon', 'Aeon'), 'Fool')
(('Devil', 'Fortune'), 'Hanged Man')
(('Temperance', 'Lovers'), 'Lovers')
(('Chariot', 'Devil'), 'Aeon')
(('Hanged Man', 'Devil'), 'Lovers')
(('Judgement', 'Judgement'), 'Judgement')
(('Strength', 'Star'), 'Hermit')
(('Strength', 'Strength'), 'Fool')
(('Chariot', 'Moon'), 'Strength')
(('Moon', 'Jester'), 'Temperance')
(('Priestess', 'Jester'), 'Temperance')
(('Hermit', 'NA'), 'Priestess')
(('Death', 'Fool'), 'Aeon')
(('Chariot', 'Star'), 'Justice')
(('Temperance', 'Tower'), 'Chariot')
(('Judgement', 'Fortune'), 'Sun')
(('Emperor', 'Lovers'), 'Sun')
(('Fortune', 'Judgement'), 'Emperor')
(('Death', 'Justice'), 'Emperor')
(('Devil', 'Hermit'), 'Tower')
(('Justice', 'Justice'), 'Empress')
(('Star', 'Justice'), 'Strength')
(('Fortune', 'Fool'), 'Hanged Man')
(('Fool', 'Aeon'), 'Death')
(('Strength', 'World'), 'Death')
(('Death', 'Moon'), 'Death')
(('Chariot', 'World'), 'Hermit')
(('Temperance', 'Sun'), 'Emperor')
(('Sun', 'Fortune'), 'Moon')
(('Judgement', 'Hermit'), 'Star')
(('Sun', 'Jester'), 'Fortune')
(('Chariot', 'Fool'), 'Magician')
(('Star', 'Death'), 'Fortune')
(('Priestess', 'Moon'), 'Sun')
(('Priestess', 'Tower'), 'Sun')
(('Star', 'Judgement'), 'Judgement')
(('Justice', 'Sun'), 'Moon')
(('Empress', 'Emperor'), 'Star')
(('Priestess', 'Aeon'), 'Empress')
(('Fool', 'Fortune'), 'Magician')
(('Hierophant', 'Strength'), 'Magician')
(('Empress', 'Priestess'), 'Magician')
(('Death', 'Magician'), 'Devil')
(('Emperor', 'Hierophant'), 'Moon')
(('Hierophant', 'Aeon'), 'Magician')
(('Hierophant', 'Fool'), 'Priestess')
(('Strength', 'Priestess'), 'Fortune')
(('Hierophant', 'Tower'), 'Fool')
(('Death', 'Jester'), 'Chariot')
(('Fool', 'Jester'), 'Priestess')
(('Temperance', 'Emperor'), 'Death')
(('Sun', 'Empress'), 'Hermit')
(('Chariot', 'Sun'), 'Lovers')
(('Tower', 'Temperance'), 'Empress')
(('Fortune', 'Lovers'), 'Jester')
(('Fool', 'Temperance'), 'Hierophant')
(('Priestess', 'Sun'), 'Judgement')
(('Fool', 'Strength'), 'Magician')
(('Empress', 'Lovers'), 'Temperance')
(('Justice', 'Fortune'), 'Fool')
(('Fool', 'Lovers'), 'Empress')
(('Justice', 'Priestess'), 'Strength')
(('Magician', 'Emperor'), 'Death')
(('Tower', 'Tower'), 'Empress')
(('Moon', 'Death'), 'Star')
(('Devil', 'Sun'), 'Jester')
(('Temperance', 'Fortune'), 'Devil')
(('Priestess', 'Magician'), 'Sun')
(('Empress', 'World'), 'Justice')
(('Temperance', 'World'), 'Emperor')
(('Tower', 'Sun'), 'Aeon')
(('Hierophant', 'Temperance'), 'Temperance')
(('Moon', 'Temperance'), 'Hanged Man')
(('Devil', 'Lovers'), 'Justice')
(('Strength', 'Aeon'), 'Priestess')
(('Emperor', 'Chariot'), 'Moon')
(('Moon', 'Magician'), 'Fortune')
(('Fortune', 'Sun'), 'Hanged Man')
(('Priestess', 'Death'), 'Emperor')
(('Death', 'Devil'), 'Hanged Man')
(('Empress', 'Chariot'), 'Chariot')
(('Priestess', 'Lovers'), 'Hanged Man')
(('Tower', 'Death'), 'Chariot')
(('Sun', 'Sun'), 'Magician')
(('Moon', 'Moon'), 'Sun')
(('Emperor', 'Death'), 'Justice')
(('Judgement', 'Lovers'), 'Jester')
(('Devil', 'Strength'), 'Priestess')
(('Emperor', 'NA'), 'Justice')
(('Jester', 'Fool'), 'Hierophant')
(('Temperance', 'Hierophant'), 'Tower')
(('Temperance', 'Temperance'), 'Hierophant')
(('Emperor', 'Magician'), 'Priestess')
(('Judgement', 'Star'), 'Hermit')
(('Lovers', 'Hierophant'), 'Hermit')
(('Tower', 'Strength'), 'NA')
(('Star', 'Moon'), 'Jester')
(('Justice', 'Hierophant'), 'Emperor')
(('Empress', 'Hanged Man'), 'Temperance')
(('Moon', 'Hermit'), 'Priestess')
(('Emperor', 'Empress'), 'Hermit')
(('Fool', 'Empress'), 'Moon')
(('Moon', 'Justice'), 'Lovers')
(('Fool', 'Sun'), 'Devil')
(('Emperor', 'Sun'), 'Chariot')
(('Chariot', 'Fortune'), 'Chariot')
(('Devil', 'Chariot'), 'Judgement')
(('Sun', 'Emperor'), 'Chariot')
(('Justice', 'Jester'), 'Magician')
(('Star', 'Strength'), 'Hierophant')
(('Moon', 'Devil'), 'Fool')
(('Judgement', 'Sun'), 'Strength')
(('Hanged Man', 'Hermit'), 'Moon')
(('Fortune', 'Magician'), 'Devil')
(('Temperance', 'Jester'), 'Judgement')
(('Star', 'Aeon'), 'Chariot')
(('Sun', 'Star'), 'Aeon')
(('Temperance', 'Fool'), 'Moon')
(('Strength', 'Fortune'), 'Strength')
(('Star', 'Temperance'), 'Aeon')
(('Magician', 'Hanged Man'), 'Strength')
(('Hierophant', 'Hierophant'), 'Emperor')
(('Fool', 'Tower'), 'Star')
(('Empress', 'Hermit'), 'Priestess')
(('Emperor', 'Moon'), 'Priestess')
(('Sun', 'Death'), 'Fortune')
(('Hierophant', 'Jester'), 'Priestess')
(('Star', 'Magician'), 'Magician')
(('Star', 'Empress'), 'Hanged Man')
(('Moon', 'Fortune'), 'Temperance')
(('Judgement', 'Emperor'), 'Jester')
(('Fool', 'Judgement'), 'Hanged Man')
(('Justice', 'Aeon'), 'Justice')
(('Judgement', 'Moon'), 'Jester')
(('Hanged Man', 'Chariot'), 'Devil')
(('Chariot', 'Priestess'), 'Hanged Man')
(('Moon', 'Judgement'), 'Fool')
(('Tower', 'Jester'), 'Fool')
(('Fortune', 'Hierophant'), 'Empress')
(('Temperance', 'Aeon'), 'Priestess')
(('Chariot', 'Justice'), 'Strength')
(('Justice', 'Death'), 'Hierophant')
(('Death', 'World'), 'Fool')
(('Chariot', 'Chariot'), 'Chariot')
(('Temperance', 'Justice'), 'Lovers')
(('Hanged Man', 'NA'), 'Lovers')
(('Moon', 'World'), 'Strength')
(('Hanged Man', 'Fool'), 'Fool')
(('Hierophant', 'World'), 'Star')
(('Empress', 'Magician'), 'Justice')
(('Fool', 'Hermit'), 'Strength')
(('Lovers', 'Hanged Man'), 'Emperor')
(('Judgement', 'World'), 'Tower')
(('Lovers', 'Emperor'), 'Star')
(('Magician', 'Chariot'), 'Empress')
(('Star', 'NA'), 'Empress')
(('Lovers', 'World'), 'Death')
(('Justice', 'Fool'), 'Lovers')
(('Temperance', 'Strength'), 'Emperor')
(('Strength', 'Sun'), 'Priestess')
(('Empress', 'Temperance'), 'Priestess')
(('Devil', 'Devil'), 'Emperor')
(('Empress', 'Death'), 'Priestess')
(('Priestess', 'Judgement'), 'Sun')
(('Sun', 'Magician'), 'Aeon')
(('Magician', 'Star'), 'Chariot')
(('Devil', 'Empress'), 'Magician')
(('Hermit', 'Lovers'), 'Strength')
(('Lovers', 'Death'), 'Magician')
(('Devil', 'Hierophant'), 'Fortune')
(('Hermit', 'Fool'), 'Empress')
(('Justice', 'Tower'), 'Hermit')
(('Justice', 'Star'), 'Empress')
(('Sun', 'Priestess'), 'Lovers')
(('Hermit', 'Strength'), 'Hanged Man')
(('Justice', 'Judgement'), 'Sun')
(('Magician', 'Magician'), 'Justice')
(('Death', 'Hermit'), 'Justice')
(('Lovers', 'Strength'), 'Lovers')
(('Judgement', 'Chariot'), 'Empress')
(('Temperance', 'Star'), 'Magician')
(('Empress', 'NA'), 'Temperance')
(('Sun', 'Strength'), 'Devil')
(('Hierophant', 'Hanged Man'), 'Moon')
(('Hanged Man', 'Fortune'), 'Empress')
(('Moon', 'Priestess'), 'Lovers')
(('Fortune', 'Justice'), 'Moon')
(('Moon', 'Fool'), 'Empress')
(('Emperor', 'World'), 'Temperance')
(('Fool', 'Priestess'), 'Death')
(('Hermit', 'Moon'), 'Hermit')
(('Priestess', 'Empress'), 'Hierophant')
(('Sun', 'NA'), 'Judgement')
(('Hierophant', 'Devil'), 'Hanged Man')
(('Devil', 'Priestess'), 'Jester')
(('Hanged Man', 'Priestess'), 'Hierophant')
(('Priestess', 'Justice'), 'Moon')
(('Death', 'Empress'), 'Fortune')
(('Sun', 'World'), 'Aeon')
(('Magician', 'Aeon'), 'Fortune')
(('Lovers', 'Devil'), 'Tower')
(('Devil', 'Moon'), 'Empress')
(('Chariot', 'Hierophant'), 'Strength')
(('Judgement', 'Priestess'), 'Lovers')
(('Lovers', 'Fool'), 'Moon')
(('Star', 'Fool'), 'Hierophant')
(('Hermit', 'Jester'), 'Chariot')
(('Fortune', 'World'), 'NA')
(('Justice', 'Moon'), 'Hierophant')
(('Hierophant', 'Hermit'), 'Strength')
(('Chariot', 'Aeon'), 'Strength')
(('Chariot', 'Empress'), 'Hierophant')
(('Hermit', 'Chariot'), 'Aeon')
(('Chariot', 'Tower'), 'Temperance')
(('Jester', 'Magician'), 'Sun')
(('Hanged Man', 'Tower'), 'Lovers')
(('Strength', 'Emperor'), 'Sun')
(('Magician', 'Hierophant'), 'Temperance')
(('Judgement', 'Aeon'), 'Fortune')
(('Star', 'Star'), 'Magician')
(('Chariot', 'Death'), 'Jester')
(('Death', 'Priestess'), 'Emperor')
(('Hermit', 'Fortune'), 'Hanged Man')
(('Tower', 'Hierophant'), 'Hierophant')
(('Judgement', 'Justice'), 'Fool')
(('Empress', 'Hierophant'), 'Hierophant')
(('Hanged Man', 'Hierophant'), 'Hanged Man')
(('Magician', 'Jester'), 'Lovers')
(('Strength', 'Judgement'), 'Devil')
(('Lovers', 'Temperance'), 'Emperor')
(('Judgement', 'Fool'), 'Death')
(('Star', 'World'), 'Tower')
(('Empress', 'Moon'), 'Death')
(('Devil', 'World'), 'Aeon')
(('Moon', 'Star'), 'Tower')
(('Devil', 'Temperance'), 'Hermit')
(('Death', 'Tower'), 'Hermit')
(('Moon', 'Empress'), 'Death')
(('Magician', 'Lovers'), 'Strength')
(('Lovers', 'Justice'), 'Strength')
(('Hermit', 'Aeon'), 'Star')
(('Death', 'Lovers'), 'Devil')
(('Tower', 'Justice'), 'Star')
(('Death', 'Temperance'), 'Hierophant')
(('Priestess', 'Temperance'), 'Star')
(('Empress', 'Star'), 'Hermit')
(('Fortune', 'Empress'), 'Empress')
(('Devil', 'Death'), 'NA')
(('Death', 'Fortune'), 'Jester')
(('Moon', 'Hierophant'), 'Death')
(('Fool', 'NA'), 'Magician')
(('Hanged Man', 'World'), 'Sun')
(('Star', 'Hermit'), 'NA')
(('Sun', 'Moon'), 'Emperor')
(('Tower', 'World'), 'Jester')
(('Judgement', 'Temperance'), 'Temperance')
(('Devil', 'Star'), 'Hierophant')
(('Strength', 'NA'), 'Star')
(('Sun', 'Temperance'), 'Tower')
(('Fortune', 'Jester'), 'Justice')
(('Star', 'Tower'), 'Devil')
(('Strength', 'Chariot'), 'Justice')
(('Judgement', 'Empress'), 'Death')
(('Hermit', 'Tower'), 'Star')
(('Temperance', 'Death'), 'Empress')
(('Hermit', 'Devil'), 'Fortune')
(('Sun', 'Hermit'), 'Star')
(('Hanged Man', 'Moon'), 'Empress')
(('Death', 'Star'), 'NA')
(('Moon', 'Tower'), 'Emperor')
(('Tower', 'Moon'), 'Strength')
(('Strength', 'Fool'), 'Chariot')
(('Magician', 'World'), 'Priestess')
(('Jester', 'Empress'), 'Aeon')
(('Priestess', 'Emperor'), 'Hermit')
(('Strength', 'Justice'), 'Devil')
(('Devil', 'NA'), 'Sun')
(('Empress', 'Tower'), 'Temperance')
(('Chariot', 'Strength'), 'Hermit')
(('Hanged Man', 'Star'), 'Priestess')
(('Magician', 'Sun'), 'Hierophant')
(('Fortune', 'Devil'), 'Hierophant')
